Roadside Inspection Violations All Violations,,,,,,,,
,Violation Code,Type,Violation Description,# of Inspections,# of Violations,% of Total Violations,# of OOS Violations,%OOS Percent
1695,393.11A1LPLOWR,Vehicle,Lighting - Projecting load - Any lamp on projecting load inoperative when required to be on.,3,3,0%,3,0%
1696,178.33713,HazMat,MC331 supports and anchoring,3,3,0%,0,0%
1697,172.304A3,HazMat,Marking obscured by label or attachments,3,3,0%,0,0%
1698,398.3B8MW,Driver,Migrant Workers - No doctors certificate of qualification in possession.,3,3,0%,0,0%
1699,172.203H2,HazMat,"No ""CORROSIVE/NONCORROSIVE"" for Liquefied Petroleum Gas or missing ""NOT FOR Q and T Tanks""",3,3,0%,0,0%
1700,172.203L,HazMat,"No ""Marine Pollutant"" entry",3,3,0%,0,0%
1701,393.134B1,Vehicle,No blocking against forward movement,3,3,0%,3,0%
1702,393.114,Vehicle,No/improper front end structure,3,3,0%,0,0%
1703,393.106A,Vehicle,No/improper front end structure/headerboard,3,3,0%,1,0%
1704,393.136,Vehicle,No/improper securement of large boulders,3,3,0%,3,0%
1705,172.505C,HazMat,Not placarded for subsidiary dangerous when wet,3,3,0%,2,0%
1706,172.505A,HazMat,Not placarded for subsidiary poison inhalation hazard,3,3,0%,3,0%
1707,395.15I5I,Driver,Onboard Recording Device does not display the total hours of driving on this date.,3,3,0%,0,0%
1708,383.111,Driver,Operating a commercial motor vehicle without the required knowledge of general areas,3,3,0%,0,0%
1709,172.203D1,HazMat,Radionuclide name not on shipping paper,3,3,0%,0,0%
1710,393.86A5,Vehicle,"Rear Impact Guard Cross-section vertical height insufficient for trailer manufactured on or after January 26, 1998",3,3,0%,0,0%
1711,396.3A1CDHSWR,Vehicle,"Semi-Trailer - Any welded repairs to the ball, ball-socket, pin or eye. ",3,3,0%,3,0%
1712,177.817B,HazMat,Shipper certification missing (when required),3,3,0%,1,0%
1713,393.76BSB,Vehicle,Sleeper Berth - Improper location.,3,3,0%,0,0%
1714,396.3A1STGBW,Vehicle,Steering - Gear box with a welded repair.,3,3,0%,2,0%
1715,396.3A1STTSNL,Vehicle,Steering - Telescopic steering does not lock.,3,3,0%,3,0%
1716,396.3A1TS,Vehicle,Tilt or Telescopic Steering defective,3,3,0%,3,0%
1717,396.3A1BC,Vehicle,Brake-air compressor violation,2,2,0%,1,0%
1718,390.33BSEM,Driver,Buses - Seating in excess of the manfacturer''s designed seating capacity.,2,2,0%,2,0%
1719,172.328B,HazMat,Cargo tank not marked with proper shipping name for gases,2,2,0%,0,0%
1720,180.405J,HazMat,Cargo tank withdrawal certification,1,2,0%,0,0%
1721,172.338,HazMat,Carrier failed to replace missing ID number,2,2,0%,0,0%
1722,393.124FCCP,Vehicle,Concrete Pipe - Improper securement of pipe over 45 inches in diameter.,2,2,0%,2,0%
1723,393.70CCDTMCMT20,Vehicle,Coupling - 20% or more of the original welds (or repaired original welds) or parent metal cracked.,2,2,0%,2,0%
1724,393.71DCDBTB,Vehicle,"Coupling - Bumper tow-bar used for towed vehicle weighing more than 5,000 lbs.",2,2,0%,0,0%
1725,393.71HCDDDC,Vehicle,"Coupling - Driveaway, drawbar cracked.",2,2,0%,2,0%
1726,393.71HCDDDSIL,Vehicle,"Coupling - Driveaway, drawbar slider ineffective latch.",2,2,0%,2,0%
1727,393.70CCDTDCE,Vehicle,"Coupling - Full Trailer, drawbar eye cracked.",2,2,0%,2,0%
1728,393.71MCDIASMR,Vehicle,Coupling - Improper additional saddlemount requirements.,2,2,0%,0,0%
1729,393.71KCDLSLM,Vehicle,Coupling - Lower saddlemount loose mounting.,2,2,0%,1,0%
1730,393.71ECDSMWFWR,Vehicle,Coupling - Saddle-mounted vehicle without front wheels restrained.,2,2,0%,0,0%
1731,396.7DPHNU,Vehicle,"Coupling - Semi-Trailer, pintle hook not in use, when required",2,2,0%,2,0%
1732,393.70B1IMPC,Vehicle,Crack in the mounting plate or pivot bracket (parent metal) extending more than 20 percent of the distance across the metal in the direction of the crack.,2,2,0%,2,0%
1733,178.3458A,HazMat,DOT406/407/412 accident protection,2,2,0%,0,0%
1734,178.3458B,HazMat,DOT406/407/412 bottom damage protection,2,2,0%,0,0%
1735,383.51A,Driver,Driving a CMV while disqualified from holding a CDL,2,2,0%,2,0%
1736,395.5A1PASS,Driver,Driving after 10 hour driving limit (Passenger carrying vehicle),2,2,0%,2,0%
1737,172.328E,HazMat,"Fail to mark ""Non Odorized LPG"" on cargo tank",2,2,0%,0,0%
1738,385.13D,Other,Failing to comply with an Unsatisfactory Out of Service Order,2,2,0%,1,0%
1739,177.804A,HazMat,Failure to comply with FMCSR 49 CFR Parts 390 through 397 When Transporting HM,2,2,0%,0,0%
1740,392.10A3,Driver,Failure to stop at railroad crossing - CMV requiring display of HM placards,2,2,0%,0,0%
1741,387.403B,Other,Freight Forwarder - No evidence of public liability and property damage insurance,2,2,0%,0,0%
1742,387.403A,Other,Freight forwarder - No evidence of cargo insurance,2,2,0%,0,0%
1743,393.126C3,Vehicle,Front and rear of loaded intermodal container not secured independently when transported on vehicle other than container chassis,2,2,0%,2,0%
1744,393.67C8F,Vehicle,Fuel - Improper fuel tank safety vent.,2,2,0%,0,0%
1745,397.19CHMDP,HazMat,"HM (Driving & Parking) - A driver of a motor vehicle which contains Division 1.1, 1.2, or 1.3 materials must be in possession of, be familiar with, and be in compliance with documents are required.",2,2,0%,0,0%
1746,397.19AHMDPMC,HazMat,"HM (Driving & Parking) - Motor carrier permit/require a driver to operate a motor vehicle containing Division 1.1, 1.2, or 1.3 with no instructions/documents as required.",2,2,0%,0,0%
1747,172.602A1HMER,HazMat,HM (Emergency Response) - Failing to have the basic description and/or technical name of the hazardous material on the emergency response information. ,2,2,0%,0,0%
1748,177.840HHMHC,HazMat,HM (Highway Carriage) - No or improper written record for cryogenic cargo tanks transporting Division 2.1 gases,2,2,0%,0,0%
1749,172.404AHML,HazMat,HM (Labeling) - Failing to display label for mixed packaging/outside container/overpack.,2,2,0%,0,0%
1750,172.406CHML,HazMat,HM (Labeling) - Failing to display multiple labels as required. ,2,2,0%,0,0%
1751,172.402AHML,HazMat,HM (Labeling) - Failing to label for a subsidiary hazard as required.,2,2,0%,0,0%
1752,172.407CHML,HazMat,HM (Labeling) - Failing to meet label size requirements.,2,2,0%,0,0%
1753,172.334FHMM,HazMat,HM (Markings) - Failing to display orange panel in proximity to the placard as required. ,2,2,0%,0,0%
1754,172.324BHMM,HazMat,"HM (Markings) - Failing to mark ""RQ"" on the package in association with the proper shipping name. ",2,2,0%,0,0%
1755,172.313AHMMS,HazMat,"HM (Markings) - Offering a HM package with no ""Inhalation Hazard"" marking(s) as required.",2,2,0%,0,0%
1756,178.34511DHMP,HazMat,HM (Packaging) - DOT 406/407/412 requirements for the location of stop valve. ,2,2,0%,0,0%
1757,178.3408AHMP,HazMat,HM (Packaging) - MC 306/307/312 appurtenances attachments.,2,2,0%,0,0%
1758,178.3408D2HMP,HazMat,HM (Packaging) - MC 306/307/312 minimum road clearance.,2,2,0%,0,0%
1759,783.369CHMP,Other,HM (Packaging) - MC 330 markings of inlets/outlets.,2,2,0%,0,0%
1760,178.33717BHMP,HazMat,HM (Packaging) - MC 331 name plate marking requirements.,2,2,0%,0,0%
1761,172.201A3HMSPS,HazMat,HM (Shipping Papers) - Shipper HM shipping description on shipping paper contains unauthorized abbreviations or codes. ,2,2,0%,0,0%
1762,172.205AHMSPS,HazMat,HM (Shipping Papers) - Shipper failed to offer a hazardous waste manifest as required per [  ]. Explain:  ,2,2,0%,0,0%
1763,172.205CHMSPMC,HazMat,"HM (Shipping Papers) - The original copy of the manifest must be dated by, and bear the handwritten signature of, the person required.",2,2,0%,0,0%
1764,180.207AHMTMC,HazMat,HM (Testing) - Failing to comply with periodic requalification of UN pressure receptacles as required. ,2,2,0%,0,0%
1765,180.207BHMTS,HazMat,HM (Testing) - Failing to mark a UN pressure receptacle which has been successfully requalified. ,2,2,0%,0,0%
1766,180.352FHMTMC,HazMat,HM (Testing) - Failing to properly mark IBC with current test date as required. ,2,2,0%,0,0%
1767,395.5A1HOSPVIDIT,Driver,HOS (Passenger) - Driving more than 10 hours following 8 consecutive hours off duty at the time of inspection. Time:,2,2,0%,0,0%
1768,172.203C1,HazMat,Hazardous substance entry missing,2,2,0%,0,0%
1769,172.205,HazMat,Hazardous waste manifest not as required,2,2,0%,0,0%
1770,393.48ABCMHESA,Vehicle,Hydraulic/Electric Brake - Hydraulic brake caliper movement exceeds 1/8 inch on a steering axle.,2,2,0%,1,0%
1771,173.35F2,HazMat,IBC not secured to or within vehicle,2,2,0%,2,0%
1772,180.352E,HazMat,IBC retest date marking,2,2,0%,0,0%
1773,172.332C,HazMat,ID Number on placard does not meet specifications,2,2,0%,0,0%
1774,393.124C,Vehicle,Improper blocking of concrete pipe,2,2,0%,2,0%
1775,393.118B,Vehicle,Improper placement of bundles,2,2,0%,2,0%
1776,393.120B1,Vehicle,Improper securement of metal coils transported vertically,2,2,0%,2,0%
1777,393.122B,Vehicle,Improper securement of paper rolls transported with eyes vertical in a sided vehicle,2,2,0%,2,0%
1778,393.47G,Vehicle,Insufficient Brake Drum or Rotor thickness,2,2,0%,1,0%
1779,393.116D2,Vehicle,Insufficient tiedowns for shortwood loaded crosswise,2,2,0%,2,0%
1780,393.136FCLB,Vehicle,Large Boulders - Improper securement of a non-cubic shaped boulder with an unstable base.,2,2,0%,2,0%
1781,383.25A5I,Driver,Learner's Permit (CLP) - Failing to have a passenger endorcement.,2,2,0%,2,0%
1782,383.25A6,Driver,Learner's Permit (CLP) - Operate a CMV transporting HM requiring placards on a learners permit.,2,2,0%,2,0%
1783,393.126C1,Vehicle,Lower corners of loaded intermodal container not resting on surface of transporting vehicle (non container chassis),2,2,0%,2,0%
1784,178.3408A,HazMat,MC306/307/312 appurtenances attachment,2,2,0%,1,0%
1785,178.3408D2,HazMat,MC306/307/312 minimum road clearance,2,2,0%,0,0%
1786,178.3407A,HazMat,MC306/307/312 ring stiffeners,2,2,0%,0,0%
1787,178.33810C,HazMat,MC338 Rear end protection ,2,2,0%,0,0%
1788,390.3E1,Other,Mexico-domiciled carrier failing to display a current CVSA decal as required by 385.103(c),1,2,0%,0,0%
1789,398.8C2MW,Driver,Migrant Workers - Operate under an out-of-service order,2,2,0%,1,0%
1790,393.53A,Vehicle,No Automatic Brake Adjuster for Hydraulic Brake Systems for vehicle manufactured on or after 10/20/1993,2,2,0%,0,0%
1791,172.203E,HazMat,No empty packaging noted,2,2,0%,0,0%
1792,177.840L,HazMat,No or improper Emergency Operating Procedures for cargo tanks,2,2,0%,0,0%
1793,393.120E,Vehicle,No protection against shifting or tipping of metal coils transported in sided vehicle or intermodal container without anchor points,2,2,0%,2,0%
1794,172.301B,HazMat,No technical name on non-bulk,2,2,0%,0,0%
1795,393.122,Vehicle,No/improper securement of paper rolls,2,2,0%,2,0%
1796,172.301,HazMat,Non-bulk package marking - general ,2,2,0%,0,0%
1797,385.13A1OOSOPHM,Other,OOS Order - Motor carrier operating a CMV while an existing out-of-service order is in effect: UNSAT/UNFIT - Placarded HM,2,2,0%,2,0%
1798,395.15I5VI,Driver,Onboard Recording Device does not display sequential changes in duty status and the times the changes occurred for each driver using the device.,2,2,0%,0,0%
1799,395.15F,Driver,Onboard recording device failure: Driver failed to reconstruct info,2,2,0%,0,0%
1800,393.122CCPR,Vehicle,Paper Rolls - Improper securement of split loads of paper rolls transported with eyes vertical in a sided vehicle.,2,2,0%,2,0%
1801,393.122HCPR,Vehicle,Paper Rolls - Improper securement of stacked loads of paper rolls transported with the eyes lengthwise in a sided vehicle. ,2,2,0%,2,0%
1802,392.62C1PC,Vehicle,Passenger Carrier - Operating a bus with baggage/freight that is not properly stowed and secured. ,2,2,0%,0,0%
1803,392.62APC,Driver,Passenger Carrier - Operating a bus with standees not rearward of the white standee line.,2,2,0%,0,0%
1804,172.326B,HazMat,Portable tank not marked with owner or lessee name,2,2,0%,0,0%
1805,177.848D,HazMat,"Prohibited loading, transportation, or storage combination of hazardous materials",2,2,0%,1,0%
1806,393.71G,Vehicle,Prohibited towing connection / device,2,2,0%,0,0%
1807,172.403F,HazMat,RAM package 2 labels on opposite sides,2,2,0%,0,0%
1808,178.33711A2,HazMat,Remote control >3500 GAL MC331,2,2,0%,2,0%
1809,180.3,HazMat,Represent a package as meeting a specification that does not meet a specification,2,2,0%,2,0%
1810,392.64,Vehicle,Riding within the closed body of a commercial vehicle without exits,2,2,0%,0,0%
1811,392.2H,Driver,State/Local Hours of Service,2,2,0%,1,0%
1812,392.2SLLFMH,Driver,State/Local Laws - Fire Marshal hazmat violation.,2,2,0%,0,0%
1813,396.3A1STRW,Vehicle,Steering - Steering component other than steering column repair welded. ,2,2,0%,2,0%
1814,393.207CSCSIC,Vehicle,Suspension - Composite spring has intersecting cracks.,2,2,0%,1,0%
1815,393.75F,Vehicle,Tire — exceeding weight rating of tire,2,2,0%,0,0%
1816,393.70B1IIFWUCW,Vehicle,"Upper coupler assembly welds are crack on either side, front or back of the upper coupler, more than 20 percent of the total length of all original welds.",2,2,0%,2,0%
1817,393.104F2,Vehicle,Use of tiedown with improper repair.,1,2,0%,2,0%
1818,390.403B3,Other,Using a lease or interchange agreement that fails to include the specific duration of the arrangement as required.,2,2,0%,0,0%
1819,398.6,Driver,Violation of Hours of Service regulations for Transportation of Migrant Workers,1,2,0%,0,0%
1820,393.205AWRSWWC,Vehicle,Wheel/Rim - Spoke wheel has two or more web areas cracked.,2,2,0%,2,0%
1821,396.3A1AWW,Vehicle,Wheels - Welded Repair on wheel other than Disc-to-Rim attachment,2,2,0%,1,0%
1822,172.403B,HazMat,Wrong category RAM label,2,2,0%,0,0%
1823,495.21B2E,Other,"49 USC 521 Failing To Allow A Designated Employee Of FMCSA To Inspect And Copy Any Record And/Or Inspect And Examine Equipment, Lands, Buildings, Or Other Property
",1,1,0%,1,0%
1824,393.51DB,Vehicle,Brake - Vacuum warning device missing/inoperative.,1,1,0%,0,0%
1825,396.3A1BD,Vehicle,Brake-defective brake drum,1,1,0%,1,0%
1826,396.3A1BFL,Vehicle,"Brakes - Hydraulic Brake Failure Light missing, inoperative, or stays activated",1,1,0%,1,0%
1827,396.3A1EC,Vehicle,Bus - Electrical Mountings broken or unsecured,1,1,0%,0,0%
1828,180.405B,HazMat,Cargo tank specifications,1,1,0%,0,0%
1829,393.71HCDDDMF,Vehicle,"Coupling - Driveaway, drawbar missing fasteners.",1,1,0%,1,0%
1830,393.71HCDDDSM,Vehicle,"Coupling - Driveaway, drawbar slider movement more than 1/4 inch.",1,1,0%,0,0%
1831,393.71HCDPHC,Vehicle,"Coupling - Driveaway, pintle hook cracked.",1,1,0%,1,0%
1832,393.71HCDDHSW,Vehicle,"Coupling - Driveaway, pintle hook has more than 20% wear in the horn section.",1,1,0%,1,0%
1833,393.70CCDTDW,Vehicle,"Coupling - Full Trailer, drawbar has welded repair.",1,1,0%,1,0%
1834,393.70CCDTDSIS,Vehicle,"Coupling - Full Trailer, drawbar slider ineffective stop.",1,1,0%,0,0%
1835,393.71KCDLSM,Vehicle,Coupling - Lower saddlemount has movement of more than 1/4 inch.,1,1,0%,1,0%
1836,393.70B1ICDPBLT20,Vehicle,Coupling - Mounting plate or pivot bracket has 20% or less of the total original welds are cracked on either side of the vehicle.,1,1,0%,0,0%
1837,393.70B1ICDPPM14L6,Vehicle,Coupling - Pivot pin and bracket more than 1/4 inch horizontal movement. ,1,1,0%,0,0%
1838,396.3A1CDTDC,Vehicle,"Coupling - Semi-Trailer, drawbar eye cracked.",1,1,0%,1,0%
1839,396.3A1CDTDW,Vehicle,"Coupling - Semi-Trailer, drawbar has welded repair.",1,1,0%,1,0%
1840,396.3A1CDTDMD,Vehicle,"Coupling - Semi-Trailer, more than 1/4 inch movement between sub frame and drawbar.",1,1,0%,1,0%
1841,393.71ACDTMTTSM,Vehicle,Coupling - Towing more than three saddlemounted vehicles.,1,1,0%,0,0%
1842,393.71JCDUSC,Vehicle,Coupling - Upper saddlemount cracked.,1,1,0%,0,0%
1843,178.3451I2,HazMat,DOT406/407/412 Double bulkhead drain,1,1,0%,0,0%
1844,390.3E2D,Other,Driver - Fail to comply with applicable regulations of this subchapter.,1,1,0%,0,0%
1845,392.67D,Driver,Driver - Operating CMV while open flame heater is burning.,1,1,0%,0,0%
1846,392.50BD,Other,Driver - Smoking/open flame in the vicinity of CMV while fueling.,1,1,0%,1,0%
1847,395.8F08III,Driver,Driver failed to properly indicate 24 hour period starting time for each 24 hour period.,1,1,0%,0,0%
1848,395.5A1PASSN,Driver,Driving after 10 hour driving limit (Passenger carrying vehicle) - Nominal Violation,1,1,0%,1,0%
1849,395.5A2HOSPVNC,Driver,Driving after 15 hour driving limit at time of inspection.  (Passenger carrying vehicle) - Nominal Violation,1,1,0%,0,0%
1850,395.5B1HOSPVNC,Driver,Driving after 60 hours on duty in a 7 day period at time of inspection. (Passenger carrying vehicle) - Nominal Violation,1,1,0%,0,0%
1851,395.5B2HOSPVNC,Driver,Driving after 70 hours on duty in a 8 day period at time of inspection. (Passenger carrying vehicle) - Nominal Violation,1,1,0%,1,0%
1852,395.5B2HOSPVNP,Driver,Driving after 70 hours on duty in a 8 day period. (Passenger carrying vehicle) - Nominal Violation,1,1,0%,0,0%
1853,393.126D4,Vehicle,Empty intermodal container not properly secured to prevent shifting when transported on vehicle other than container chassis vehicle,1,1,0%,1,0%
1854,173.29A,HazMat,Empty package improper transportation,1,1,0%,0,0%
1855,173.24BD2,HazMat,Exceeding the maximum weight of bulk package rating as shown on specification plate,1,1,0%,0,0%
1856,173.315A,HazMat,Fail to comply with Cargo or portable tank Class 2 General requirements,1,1,0%,0,0%
1857,396.15BD,Vehicle,Failing to conduct a pre-trip inspection of drive-away/tow-away operation equipment.,1,1,0%,0,0%
1858,172.203M2,HazMat,"Failing to enter ""poison inhalation hazard"" on shipping paper",1,1,0%,0,0%
